account,total_trades,total_pnl,avg_pnl,win_rate_%
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,2143382.598,145.482,33.7
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1600229.82,419.128,36.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,940163.806,44.364,46.8
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,840422.555,68.684,40.1
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,416541.872,336.736,48.4
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,403011.504,281.826,30.6
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,379095.407,38.32,81.1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,308975.87,40.74,36.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,199505.593,520.902,23.5
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,108731.217,111.519,43.2
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,106302.875,6.812,34.6
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,103343.716,12.131,35.3
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,67845.62,120.507,40.9
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,65513.658,34.282,33.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,53496.247,161.133,47.6
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,47885.321,6.578,44.3
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,43917.009,2.928,26.2
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,21758.832,40.747,32.2
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1894,1430.782,0.755,35.6
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,-31203.6,-38.287,45.5
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,-167621.125,-36.431,38.3
